nome_produto,url,categoria,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
Vitao Diet Cookies Integrais Morango com Cobertura de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/diet-cookies-integrais-morango-com-cobertura-de-chocolate/6-unidades,Produto Vitao,30,125,21.0,2.2,5.0,3.0,3.0,0.0,81
Vitao Cookies Integrais Proteico Zero Adição de Açúcares Cacau com Grãos Ancestrais e Cobertura de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-proteico-zero-adi%C3%A7%C3%A3o-de-a%C3%A7%C3%BAcares-cacau-com-gr%C3%A3os-ancestrais-e-cobertura-de-chocolate/1-por%C3%A7%C3%A3o,Produto Vitao,30,143,10.0,5.3,9.4,6.4,2.1,0.0,68
Vitao Macarrão Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/macarr%C3%A3o-integral/1-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,80,284,55.0,11.5,2.0,0.7,7.5,0.0,0
Vitao Aveia em Flocos Finos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/aveia-em-flocos-finos/2-colheres-de-sopa,Produto Vitao,30,110,17.0,4.2,2.2,0.3,2.8,0.5,2
Vitao Farinha de Linhaça Marrom,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-linha%C3%A7a-marrom/1-colher-de-sopa,Produto Vitao,15,40,0.7,4.8,2.0,0.7,5.1,0.0,7
Vitao Fibra de Trigo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/fibra-de-trigo/1-colher-de-sopa,Produto Vitao,10,22,6.4,1.6,0.0,0.0,4.3,0.0,0
Vitao Cacau em Pó,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cacau-em-p%C3%B3/1-por%C3%A7%C3%A3o,Produto Vitao,20,67,4.0,4.6,2.2,1.3,7.0,0.1,0
Vitao Sementes de Girassol Tostadas e Salgadas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/sementes-de-girassol-tostadas-e-salgadas/1-colher-de-sopa,Produto Vitao,15,89,1.7,3.1,7.7,0.7,0.0,0.0,178
Vitao Cocada com Maracujá,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cocada-com-maracuj%C3%A1/1-colher,Produto Vitao,20,62,9.0,1.8,2.1,1.6,0.5,0.4,30
Vitao Brigadeiro de Colher,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/brigadeiro-de-colher/1-colher-de-sopa,Produto Vitao,20,18,3.0,0.6,0.6,0.3,0.0,0.9,14
